,Date,Location,Treatment,as_measured,amount_used,collector,google_second_wave_trend,google_drug_resistant_trend,is_suspicious,numeric_location,loc_0,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6,loc_7,loc_8,loc_9,loc_10,week_number,stagger_second_flu_trend,stagger_drug_resistant
0,3/10/18,eca- front desk,0.0,1594,0.0,Nikki,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,10,0.0,0.0
1,3/11/18,eca- front desk,0.0,1583,11.0,Nikki,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,10,0.0,0.0
2,3/12/18,eca- front desk,0.0,1573,10.0,Nikki,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,11,0.0,0.0
3,3/13/18,eca- front desk,0.0,1566,7.0,Nikki,0.0,48.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,11,0.0,0.0
4,3/14/18,eca- front desk,0.0,1549,17.0,Nikki,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,11,0.0,48.0
5,3/15/18,eca- front desk,0.0,1533,16.0,Nikki,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,11,0.0,0.0
6,3/16/18,eca- front desk,0.0,1523,10.0,Nikki,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,11,0.0,0.0
7,3/17/18,eca- front desk,0.0,1518,5.0,Nikki,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,11,0.0,0.0
8,3/18/18,eca- front desk,0.0,1501,17.0,Nikki,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,11,0.0,0.0
9,3/19/18,eca- front desk,1.0,1495,6.0,Nikki,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,12,0.0,0.0
10,3/20/18,eca- front desk,1.0,1488,7.0,Nikki,0.0,97.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,12,0.0,0.0
11,3/21/18,eca- front desk,1.0,1468,20.0,Nikki,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,12,0.0,97.0
12,3/22/18,eca- front desk,1.0,1455,13.0,Nikki,0.0,99.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,12,0.0,0.0
13,3/23/18,eca- front desk,1.0,1436,19.0,Nikki,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,12,0.0,99.0
14,3/24/18,eca- front desk,1.0,1426,10.0,Nikki,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,12,0.0,0.0
15,3/25/18,eca- front desk,1.0,1415,11.0,Nikki,0.0,59.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,12,0.0,0.0
16,3/26/18,eca- front desk,1.0,1409,6.0,Nikki,43.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,13,0.0,59.0
17,3/27/18,eca- front desk,1.0,1375,34.0,Nikki,100.0,50.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,13,43.0,0.0
18,3/28/18,eca- front desk,1.0,1355,20.0,Nikki,88.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,13,100.0,50.0
19,3/29/18,eca- front desk,1.0,1350,5.0,Nikki,60.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,13,88.0,0.0
20,3/30/18,eca- front desk,1.0,1348,2.0,Nikki,97.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,13,60.0,0.0
21,3/31/18,eca- front desk,1.0,1343,5.0,Nikki,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,13,97.0,0.0
22,4/1/18,eca- front desk,1.0,1333,10.0,Nikki,17.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,13,0.0,0.0
23,4/2/18,eca- front desk,1.0,1323,10.0,Nikki,46.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,14,17.0,0.0
24,4/3/18,eca- front desk,0.0,1319,4.0,Nikki,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,14,46.0,0.0
