Date,Location,Treatment,as_measured,amount_used,collector,google_second_wave_trend,google_drug_resistant_trend,is_suspicious
3/10/18,eca- front desk,0,1594,0,Nikki,0,0,0
3/11/18,eca- front desk,0,1583,11,Nikki,0,0,0
3/12/18,eca- front desk,0,1573,10,Nikki,0,0,0
3/13/18,eca- front desk,0,1566,7,Nikki,0,48,0
3/14/18,eca- front desk,0,1549,17,Nikki,0,0,0
3/15/18,eca- front desk,0,1533,16,Nikki,0,0,0
3/16/18,eca- front desk,0,1523,10,Nikki,0,0,0
3/17/18,eca- front desk,0,1518,5,Nikki,0,0,0
3/18/18,eca- front desk,0,1501,17,Nikki,0,0,0
3/19/18,eca- front desk,1,1495,6,Nikki,0,0,0
3/20/18,eca- front desk,1,1488,7,Nikki,0,97,0
3/21/18,eca- front desk,1,1468,20,Nikki,0,0,0
3/22/18,eca- front desk,1,1455,13,Nikki,0,99,0
3/23/18,eca- front desk,1,1436,19,Nikki,0,0,0
3/24/18,eca- front desk,1,1426,10,Nikki,0,0,0
3/25/18,eca- front desk,1,1415,11,Nikki,0,59,0
3/26/18,eca- front desk,1,1409,6,Nikki,43,0,0
3/27/18,eca- front desk,1,1375,34,Nikki,100,50,0
3/28/18,eca- front desk,1,1355,20,Nikki,88,0,0
3/29/18,eca- front desk,1,1350,5,Nikki,60,0,0
3/30/18,eca- front desk,1,1348,2,Nikki,97,0,0
3/31/18,eca- front desk,1,1343,5,Nikki,0,0,0
4/1/18,eca- front desk,1,1333,10,Nikki,17,0,0
4/2/18,eca- front desk,1,1323,10,Nikki,46,0,0
4/3/18,eca- front desk,0,1319,4,Nikki,0,0,0
4/4/18,eca- front desk,0,1308,11,Nikki,14,49,0
4/5/18,eca- front desk,0,1296,12,Nikki,22,40,0
4/6/18,eca- front desk,0,1280,16,Nikki,11,50,0
4/7/18,eca- front desk,0,1271,9,Nikki,N/A,N/A,N/A
3/8/18,yarn shop,0,1878,0,Nikki,14,49,0
3/9/18,yarn shop,0,1876,2,Nikki,0,0,0
3/10/18,yarn shop,0,1874,2,Nikki,0,0,0
3/11/18,yarn shop,N/A,N/A,N/A,N/A,0,0,0
3/12/18,yarn shop,0,1872,2,Nikki,0,0,0
3/13/18,yarn shop,0,1872,0,Nikki,0,48,0
3/14/18,yarn shop,0,1872,0,Nikki,0,0,0
3/15/18,yarn shop,0,1872,0,Nikki,0,0,0
3/16/18,yarn shop,0,1872,0,Nikki,0,0,0
3/17/18,yarn shop,0,1871,0,Nikki,0,0,0
3/18/18,yarn shop,N/A,N/A,N/A,N/A,0,0,N/A
3/19/18,yarn shop,0,1871,0,Nikki,0,0,0
3/20/18,yarn shop,0,1871,0,Nikki,0,97,0
3/21/18,yarn shop,0,1871,0,Nikki,0,0,0
3/22/18,yarn shop,0,1870,1,Nikki,0,99,0
3/23/18,yarn shop,0,1870,0,Nikki,0,0,0
3/24/18,yarn shop,0,1870,0,Nikki,0,0,0
3/25/18,yarn shop,N/A,N/A,N/A,N/A,0,59,N/A
3/26/18,yarn shop,0,1870,0,Nikki,43,0,0
3/27/18,yarn shop,0,1870,0,Nikki,100,50,0
3/28/18,yarn shop,0,1870,0,Nikki,88,0,0
3/29/18,yarn shop,0,1870,0,Nikki,60,0,0
3/30/18,yarn shop,0,1870,0,Nikki,97,0,0
3/31/18,yarn shop,0,1869,1,Nikki,0,0,0
4/1/18,yarn shop,N/A,N/A,N/A,N/A,17,0,N/A
4/2/18,yarn shop,0,1869,0,Nikki,46,0,0
4/3/18,yarn shop,1,1868,1,Nikki,0,0,0
4/4/18,yarn shop,1,1864,4,Nikki,14,49,0
4/5/18,yarn shop,1,1864,0,Nikki,22,40,0
4/6/18,yarn shop,1,1861,3,Nikki,11,50,0
4/7/18,yarn shop,1,1858,3,Nikki,N/A,N/A,0
3/12/18,concur - 3rd floor,0,1857,0,Nikki,0,0,0
3/12/18,concur - 16th floor,0,1856,1,Nikki,0,0,0
3/13/18,concur - 3rd floor,0,1857,8,Carmen,0,48,0
3/13/18,concur - 5th floor,0,1845,18,Carmen,0,48,0
3/13/18,concur - 10th floor,0,1855,1,Carmen,0,48,0
3/13/18,concur -12th floor,0,1853,5,Carmen,0,48,0
3/13/18,concur - 16th floor,0,1855,7,Carmen,0,48,0
3/14/18,concur - 3rd floor,0,1849,5,Carmen,0,0,0
3/14/18,concur - 5th floor,0,1827,17,Carmen,0,0,0
3/14/18,concur - 10th floor,0,1854,1,Carmen,0,0,0
3/14/18,concur -12th floor,0,1848,5,Carmen,0,0,0
3/14/18,concur - 16th floor,0,1848,-2,Carmen,0,0,1
3/15/18,concur - 3rd floor,0,1844,1,Carmen,0,0,0
3/15/18,concur - 5th floor,0,1810,9,Carmen,0,0,0
3/15/18,concur - 10th floor,0,1853,0,Carmen,0,0,0
3/15/18,concur -12th floor,0,1843,0,Carmen,0,0,0
3/15/18,concur - 16th floor,0,1850,59,Carmen,0,0,0
3/16/18,concur - 3rd floor,0,1843,1,Nikki,0,0,0
3/16/18,concur - 5th floor,0,1801,6,Nikki,0,0,0
3/16/18,concur - 10th floor,0,1853,3,Nikki,0,0,0
3/16/18,concur -12th floor,0,1843,38,Nikki,0,0,0
3/16/18,concur - 16th floor,0,1791,3,Nikki,0,0,0
3/19/18,concur - 3rd floor,1,1842,1,Nikki,0,0,0
3/19/18,concur - 5th floor,1,1795,25,Nikki,0,0,0
3/19/18,concur - 10th floor,0,1850,4,Nikki,0,0,0
3/19/18,concur -12th floor,1,1805,3,Nikki,0,0,0
3/19/18,concur - 16th floor,0,1788,2,Nikki,0,0,0
3/20/18,concur - 3rd floor,1,1841,2,Nikki,0,97,0
3/20/18,concur - 5th floor,1,1770,N/A,Nikki,0,97,1
3/20/18,concur - 10th floor,0,1846,6,Nikki,0,97,0
3/20/18,concur -12th floor,1,1802,6,Nikki,0,97,0
3/20/18,concur - 16th floor,0,1786,10,Nikki,0,97,0
3/21/18,concur - 3rd floor,1,1839,9,Carmen,0,0,0
3/21/18,concur - 5th floor,1,MISSING,N/A,Carmen,0,0,1
3/21/18,concur - 10th floor,0,1840,3,Carmen,0,0,0
3/21/18,concur -12th floor,1,1796,9,Carmen,0,0,0
