Category: All categories,
,
Day,drug-resistant: (United States)
1/8/18,0
1/9/18,0
1/10/18,50
1/11/18,0
1/12/18,0
1/13/18,0
1/14/18,0
1/15/18,53
1/16/18,0
1/17/18,0
1/18/18,0
1/19/18,0
1/20/18,0
1/21/18,0
1/22/18,0
1/23/18,0
1/24/18,49
1/25/18,49
1/26/18,0
1/27/18,0
1/28/18,0
1/29/18,0
1/30/18,0
1/31/18,0
2/1/18,49
2/2/18,100
2/3/18,0
2/4/18,0
2/5/18,0
2/6/18,0
2/7/18,95
2/8/18,0
2/9/18,0
2/10/18,0
2/11/18,58
2/12/18,0
2/13/18,49
2/14/18,49
2/15/18,50
2/16/18,51
2/17/18,57
2/18/18,0
2/19/18,51
2/20/18,0
2/21/18,0
2/22/18,97
2/23/18,0
2/24/18,0
2/25/18,0
2/26/18,0
2/27/18,49
2/28/18,0
3/1/18,0
3/2/18,0
3/3/18,0
3/4/18,0
3/5/18,0
3/6/18,48
3/7/18,0
3/8/18,49
3/9/18,0
3/10/18,0
3/11/18,0
3/12/18,0
3/13/18,48
3/14/18,0
3/15/18,0
3/16/18,0
3/17/18,0
3/18/18,0
3/19/18,0
3/20/18,97
3/21/18,0
3/22/18,99
3/23/18,0
3/24/18,0
3/25/18,59
3/26/18,0
3/27/18,50
3/28/18,0
3/29/18,0
3/30/18,0
3/31/18,0
4/1/18,0
4/2/18,0
4/3/18,0
4/4/18,49
4/5/18,50
4/6/18,0
